system:index,tropospheric_HCHO_column_number_density,.geo,latitude,longitude,cluster
26009,0.0002214304989743952,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.11537317032466,26.724879702555764]}",26.724879702555764,85.11537317032466,0
26010,0.0002268808053735176,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.20520469873661,26.724879702555764]}",26.724879702555764,85.20520469873661,0
26011,0.00022958671949241396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.29503622714856,26.724879702555764]}",26.724879702555764,85.29503622714856,0
26012,0.00022276702114584497,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.38486775556052,26.724879702555764]}",26.724879702555764,85.38486775556052,0
26013,0.00022197847398297123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.47469928397247,26.724879702555764]}",26.724879702555764,85.47469928397247,0
26014,0.00021523891328265087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.56453081238442,26.724879702555764]}",26.724879702555764,85.56453081238442,0
26015,0.00022184909500467317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.65436234079637,26.724879702555764]}",26.724879702555764,85.65436234079637,0
26016,0.0001818782868131102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.25947666474299,26.724879702555764]}",26.724879702555764,88.25947666474299,0
26017,0.00018613443757163611,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.34930819315494,26.724879702555764]}",26.724879702555764,88.34930819315494,0
26018,0.00019578858228081608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43913972156689,26.724879702555764]}",26.724879702555764,88.43913972156689,0
26019,0.00018821927306212756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.52897124997884,26.724879702555764]}",26.724879702555764,88.52897124997884,0
26020,0.00018384583998442712,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.61880277839079,26.724879702555764]}",26.724879702555764,88.61880277839079,0
26021,0.0001949343367626271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.70863430680275,26.724879702555764]}",26.724879702555764,88.70863430680275,0
26022,0.0001899849773159793,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.7984658352147,26.724879702555764]}",26.724879702555764,88.7984658352147,0
26023,0.00018385386533473056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.88829736362665,26.724879702555764]}",26.724879702555764,88.88829736362665,0
26024,0.0001864646680040123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.9781288920386,26.724879702555764]}",26.724879702555764,88.9781288920386,0
26025,0.000186816281367008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.06796042045055,26.724879702555764]}",26.724879702555764,89.06796042045055,0
26026,0.0001744704300402864,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15779194886251,26.724879702555764]}",26.724879702555764,89.15779194886251,-1
26027,0.0001693558072142042,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.24762347727446,26.724879702555764]}",26.724879702555764,89.24762347727446,-1
26028,0.0001704055543841689,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.33745500568641,26.724879702555764]}",26.724879702555764,89.33745500568641,-1
26029,0.00016965088536066264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.42728653409836,26.724879702555764]}",26.724879702555764,89.42728653409836,-1
26030,0.00017477362293901477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.51711806251032,26.724879702555764]}",26.724879702555764,89.51711806251032,-1
26031,0.00015117817202356544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.60694959092227,26.724879702555764]}",26.724879702555764,89.60694959092227,-1
26032,0.00015850773144561258,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.69678111933422,26.724879702555764]}",26.724879702555764,89.69678111933422,-1
26033,0.0001588240063042325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.87644417615812,26.724879702555764]}",26.724879702555764,89.87644417615812,-1
26034,0.0001577680433458019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.96627570457008,26.724879702555764]}",26.724879702555764,89.96627570457008,-1
26035,0.00016154562201536716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.05610723298203,26.724879702555764]}",26.724879702555764,90.05610723298203,-1
26036,0.0001612350046586581,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.14593876139398,26.724879702555764]}",26.724879702555764,90.14593876139398,-1
26037,0.00016091175421909537,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.23577028980593,26.724879702555764]}",26.724879702555764,90.23577028980593,-1
26038,0.00017746162170768134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.32560181821789,26.724879702555764]}",26.724879702555764,90.32560181821789,-1
26039,0.0001870219059421052,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.41543334662984,26.724879702555764]}",26.724879702555764,90.41543334662984,0
26040,0.00017580290111926766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.50526487504179,26.724879702555764]}",26.724879702555764,90.50526487504179,0
26041,0.0001557075321829666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.59509640345374,26.724879702555764]}",26.724879702555764,90.59509640345374,-1
26042,0.00015424793420967445,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.68492793186569,26.724879702555764]}",26.724879702555764,90.68492793186569,-1
26043,0.00016125717489042432,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.77475946027765,26.724879702555764]}",26.724879702555764,90.77475946027765,-1
26044,0.0001728357158580211,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.8645909886896,26.724879702555764]}",26.724879702555764,90.8645909886896,0
26045,0.00019047014660684405,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.95442251710155,26.724879702555764]}",26.724879702555764,90.95442251710155,0
26046,0.00018685802016234188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.0442540455135,26.724879702555764]}",26.724879702555764,91.0442540455135,-1
26047,0.00018213438166618092,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.13408557392545,26.724879702555764]}",26.724879702555764,91.13408557392545,0
26048,0.0001762251202807859,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.22391710233741,26.724879702555764]}",26.724879702555764,91.22391710233741,0
26049,0.00017203238372874075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.31374863074936,26.724879702555764]}",26.724879702555764,91.31374863074936,0
26050,0.00017943848060436902,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.40358015916131,26.724879702555764]}",26.724879702555764,91.40358015916131,0
26051,0.00017569949765474516,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.49341168757326,26.724879702555764]}",26.724879702555764,91.49341168757326,0
26052,0.00017410005804636015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.58324321598522,26.724879702555764]}",26.724879702555764,91.58324321598522,0
26053,0.0001736131602124653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.67307474439717,26.724879702555764]}",26.724879702555764,91.67307474439717,0
26054,0.00017249311017591295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.76290627280912,26.724879702555764]}",26.724879702555764,91.76290627280912,0
26055,0.00017945345859049093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.85273780122107,26.724879702555764]}",26.724879702555764,91.85273780122107,0
26056,0.00017932394515342582,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.94256932963302,26.724879702555764]}",26.724879702555764,91.94256932963302,0
26057,0.000183657804790962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.03240085804498,26.724879702555764]}",26.724879702555764,92.03240085804498,0
26058,0.0001845476437362212,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.12223238645693,26.724879702555764]}",26.724879702555764,92.12223238645693,0
26059,0.00019155692114850056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.21206391486888,26.724879702555764]}",26.724879702555764,92.21206391486888,0
26060,0.0001850160994531741,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.30189544328083,26.724879702555764]}",26.724879702555764,92.30189544328083,0
26061,0.0001906281964107844,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.39172697169278,26.724879702555764]}",26.724879702555764,92.39172697169278,0
26062,0.00020034540324203776,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.48155850010474,26.724879702555764]}",26.724879702555764,92.48155850010474,0
26063,0.0001945357435140304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.57139002851669,26.724879702555764]}",26.724879702555764,92.57139002851669,0
26064,0.0001991174813819081,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.66122155692864,26.724879702555764]}",26.724879702555764,92.66122155692864,0
26065,0.0001990744919057401,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.75105308534059,26.724879702555764]}",26.724879702555764,92.75105308534059,0
26066,0.00019720819906278209,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.84088461375255,26.724879702555764]}",26.724879702555764,92.84088461375255,0
26067,0.0001936569510721764,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.9307161421645,26.724879702555764]}",26.724879702555764,92.9307161421645,0
26068,0.000193519214145114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.02054767057645,26.724879702555764]}",26.724879702555764,93.02054767057645,0
26069,0.00019088760017254455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.1103791989884,26.724879702555764]}",26.724879702555764,93.1103791989884,0
26070,0.0001917267067368024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.20021072740035,26.724879702555764]}",26.724879702555764,93.20021072740035,0
26071,0.00019893975973672977,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.29004225581231,26.724879702555764]}",26.724879702555764,93.29004225581231,0
26072,0.00020019908731086465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.37987378422426,26.724879702555764]}",26.724879702555764,93.37987378422426,0
26073,0.00019156815928742887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.46970531263621,26.724879702555764]}",26.724879702555764,93.46970531263621,0
26074,0.00019605053465547055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.55953684104816,26.724879702555764]}",26.724879702555764,93.55953684104816,0
26075,0.0002042010592643788,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.6493683694601,26.724879702555764]}",26.724879702555764,93.6493683694601,0
26076,0.0001915847122916064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.73919989787207,26.724879702555764]}",26.724879702555764,93.73919989787207,0
26077,0.0001830633664897177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.82903142628402,26.724879702555764]}",26.724879702555764,93.82903142628402,0
