frp,hcho
4.47,0.0001913635222086639
4.47,0.0001913635222086639
0.61,0.00021468579895296623
0.61,0.000214653164384453
0.61,0.000214653164384453
4.47,0.0001913635222086639
4.47,0.0001913635222086639
0.61,0.00021468579895296623
0.61,0.00021468579895296623
0.61,0.000214653164384453
0.61,0.00021468579895296623
0.61,0.00021468579895296623
0.61,0.000214653164384453
0.59,0.00019989590051156585
0.59,0.00019989590051156585
0.59,0.00019989590051156585
0.59,0.00019989590051156585
0.59,0.00020547440779502475
0.59,0.00020547440779502475
0.59,0.0002128105649728697
0.59,0.00020547440779502475
0.59,0.00020547440779502475
0.59,0.00020547440779502475
0.59,0.00020547440779502475
0.59,0.00020547440779502475
0.59,0.00020547440779502475
1.11,0.00017381098473619682
1.11,0.00017381098473619682
1.11,0.00017381098473619682
1.11,0.00017381098473619682
1.11,0.00017381098473619682
1.11,0.00017381098473619682
1.11,0.00017381098473619682
1.11,0.00017381098473619682
1.11,0.00017381098473619682
1.44,0.00017320773548836168
1.44,0.00017320773548836168
1.44,0.00017320773548836168
1.44,0.00017320773548836168
1.44,0.00017320773548836168
1.44,0.00017320773548836168
1.46,0.00021315752346942049
1.46,0.00021315752346942049
1.46,0.00021315752346942049
2.94,0.00021125567961289025
2.94,0.00021125567961289025
2.94,0.00021125567961289025
2.83,0.00021125567961289025
1.44,0.00017865228970175454
1.44,0.00017865228970175454
1.44,0.00017865228970175454
0.98,0.00020813003954296187
0.98,0.00020813003954296187
0.98,0.00020813003954296187
0.95,0.00020813003954296187
1.46,0.00021433123460475785
1.46,0.00021433123460475785
1.46,0.00021433123460475785
2.94,0.00021433123460475785
2.94,0.00022715055557228056
2.94,0.00022715055557228056
2.83,0.00022715055557228056
0.98,0.00020813003954296187
0.98,0.00020813003954296187
0.98,0.00020813003954296187
0.95,0.00020813003954296187
2.94,0.00021433123460475785
2.94,0.00021433123460475785
2.94,0.00022715055557228056
2.83,0.00022715055557228056
0.95,0.00020813003954296187
0.95,0.00020813003954296187
0.95,0.00020813003954296187
0.47,0.00020813003954296187
0.47,0.00020813003954296187
0.47,0.00020813003954296187
1.28,0.00020898131195545925
1.28,0.00020898131195545925
1.28,0.00021433123460475785
1.53,0.00022715055557228056
1.53,0.00022715055557228056
1.53,0.00022715055557228056
0.47,0.00020813003954296187
0.47,0.00020813003954296187
0.47,0.00020813003954296187
1.28,0.00020898131195545925
1.28,0.00020898131195545925
1.28,0.00020898131195545925
1.53,0.00022715055557228056
1.53,0.00022715055557228056
1.53,0.00022715055557228056
1.28,0.00020898131195545925
1.28,0.00020898131195545925
1.28,0.00020898131195545925
0.6,0.00022715055557228056
0.73,0.00022715055557228056
0.73,0.00022715055557228056
0.73,0.00022715055557228056
1.53,0.00022715055557228056
1.53,0.00022715055557228056
1.53,0.00022715055557228056
0.49,0.00022715055557228056
0.49,0.00022715055557228056
0.49,0.00022715055557228056
0.64,0.00020813003954296187
0.64,0.00020813003954296187
0.95,0.00020813003954296187
0.95,0.00020813003954296187
0.6,0.00022715055557228056
0.73,0.00022715055557228056
0.73,0.00022715055557228056
0.73,0.00022715055557228056
0.49,0.00022715055557228056
0.49,0.00022715055557228056
0.49,0.00022715055557228056
0.64,0.00020813003954296187
0.64,0.00020813003954296187
0.95,0.00020813003954296187
0.95,0.00020813003954296187
0.95,0.00020813003954296187
3.5,0.00020898131195545925
3.5,0.00020898131195545925
3.5,0.00020898131195545925
2.05,0.00020898131195545925
0.6,0.00021433123460475785
0.73,0.00022715055557228056
0.73,0.00022715055557228056
0.91,0.00022715055557228056
0.91,0.00022715055557228056
6.5,0.00022715055557228056
6.5,0.00022715055557228056
6.5,0.00022715055557228056
0.49,0.00022715055557228056
1.93,0.00022715055557228056
1.93,0.00022715055557228056
1.93,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
0.95,0.00020813003954296187
0.95,0.00020813003954296187
0.95,0.00020813003954296187
0.69,0.00021038438059554
0.69,0.00021038438059554
0.69,0.00021038438059554
3.5,0.00020898131195545925
3.5,0.00020898131195545925
3.5,0.00020898131195545925
2.05,0.00020898131195545925
1.24,0.00020898131195545925
0.91,0.00022715055557228056
0.91,0.00022715055557228056
0.91,0.00022715055557228056
0.91,0.00022715055557228056
6.5,0.00022715055557228056
6.5,0.00022715055557228056
6.5,0.00022715055557228056
1.87,0.00022715055557228056
1.93,0.00022715055557228056
1.93,0.00022715055557228056
1.93,0.00022715055557228056
1.06,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
0.95,0.00020813003954296187
0.95,0.00020813003954296187
0.95,0.00020813003954296187
0.69,0.00021038438059554
0.69,0.00021038438059554
0.69,0.00021038438059554
3.5,0.00020898131195545925
3.5,0.00020898131195545925
3.5,0.00020898131195545925
2.05,0.00020898131195545925
1.24,0.00020898131195545925
0.91,0.00022715055557228056
0.91,0.00022715055557228056
6.5,0.00022715055557228056
6.5,0.00022715055557228056
6.5,0.00022715055557228056
1.87,0.00022715055557228056
2.25,0.00022715055557228056
5.59,0.00022715055557228056
5.59,0.00022715055557228056
5.59,0.00022715055557228056
1.93,0.00022715055557228056
1.06,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
0.69,0.00021038438059554
0.69,0.00021038438059554
0.69,0.00021038438059554
3.22,0.00020898131195545925
3.22,0.00020898131195545925
3.22,0.00020898131195545925
1.24,0.00020898131195545925
1.24,0.00020898131195545925
1.87,0.00022715055557228056
1.87,0.00022715055557228056
1.87,0.00022715055557228056
